Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Abacate. polpa. in 0tura,5,4,5,3.5,0.07,0,6.71,21.6,1.75,0.46,0,26.5,280,153,0.65,14.9,68.6,23,62.9,0.54,0,644,4.26,0.13,0,0.74,0,0,319,11.5,23,0,0,27.1,0,0.86,11.8,3.85,6.29,0,0
Abacaxi. cozido. caramelado,4,2,4,3.5,0.03,20,26,26.6,0.31,0.08,0,19.6,108,3.39,0.72,0.67,8.85,0.2,15.4,1.3,0,109,0.48,0.02,0,0.24,4.2,0.08,52.4,0,0,0,0,13.9,0,0.12,0.02,0.06,0.01,0,0
Abacaxi. polpa. in 0tura,8,6,6,2,0.04,0,7.87,8.71,0.27,0.09,0,13.8,37,8.47,0.35,0.84,7.88,0.25,12.5,1.12,0,103,0.51,0.01,0,0.3,2.13,0.12,65.3,0.75,1.5,0,0,24.8,0,0.12,0.02,0.08,0.02,0,0
Abóbora. moranga. refogada (com óleo. cebola e alho). com sal,0,8,8,2.5,1.51,0.00,4.44,5.98,0.37,0.04,0.00,19.2,30,8.45,0.11,1.55,11.7,0.80,7.50,0.02,0,183,0.39,0,0.32,1.07,130,0.05,92.5,47.7,95.3,0,0.05,6.73,0.00,0.08,0.19,0.45,0.12,0.00,0.00
Abóbora. pescoço. sem casca. sem semente. cozida. dre0da. sem óleo. com sal,2,8,7,2,0.69,0,2.08,3.33,0.48,0.05,0,4.58,12,3.88,0.11,1.25,15.5,0.06,2.42,0.04,0,71.7,0.36,0,0,0.54,64.2,0,45.8,131,262,0,0.02,0.74,0,0.07,0.01,0.01,0.01,0,0
Abobrinha. italia0. com casca. refogada (com óleo. cebola e alho). com sal,2,8,8,2.5,0,0.00,2.81,4.19,0.43,0.02,0.00,20.7,26,0,0.36,1.38,31.8,0.82,12.7,0.14,0,193,1.07,0,0.32,0,130,0.04,93.5,20.8,41.6,0.00,0,7.53,0,0.27,0.18,0.46,0.13,0.00,0.00
Abricó (damasco). in 0tura,6,2,3,12,0,0.00,10.00,13.5,0.20,0.01,0.00,8.00,57,10.1,0.12,3.50,0,1.00,0.22,0.02,0,31.8,0.30,0.06,0.00,0.80,1.76,0.11,85.0,0,0,0,0.05,16.7,0,0.18,0.20,0.17,0.28,0.00,0.00
Açaí. polpa. com xarope de guaraná e glucose,7,0,8,5,10.8,0,19.7,21.5,0.29,0.14,0.00,22.2,118,0,0.27,1.72,10.8,3.66,12.7,3.29,0,75.5,0.72,0,0.00,0.51,15.1,0,73.9,10.4,20.9,0.00,0.07,10.3,0,0.19,1.90,0.30,0.70,0,0.00
Acelga. cozida. dre0da. sem óleo. com sal,2,5,5,1.5,1.02,0.00,2.93,4.07,0.97,0.10,0.00,41.7,22,3.78,0.21,1.14,36.7,0.11,6.37,0.10,0,122,1.47,0,0.32,0.73,128,0.03,93.4,34.6,69.2,0.00,0.10,9.20,0.00,0.24,0.02,0.04,0.02,0.00,0.00
Acelga. crua,2,6,6,1.2,1.00,0.00,3.51,4.63,0.63,0.10,0.00,43.0,23,7.42,0.27,1.12,40.0,0.11,10.4,0.11,0,239,1.44,0,0.00,0.84,1.18,0.04,93.2,162,324,0.00,0.16,22.6,0.00,0.31,0.02,0.04,0.02,0.00,0.00
